ABIO,2,O,H,|0.0574712643678161,0.0318471337579617,;0,0,;0.172413793103448,0.10828025477707,;0.568965517241379,0.503184713375796,;0.574712643678161,0.579617834394904,;0.597701149425287,0.535031847133758,;0.591954022988506,0.573248407643312,;0.71264367816092,0.764331210191083,;0.666666666666667,0.751592356687898,;0.626436781609195,0.643312101910828,;0.78735632183908,0.751592356687898,;0.85632183908046,0.917197452229299,;0.902298850574713,0.885350318471338,;0.931034482758621,0.929936305732484,;1,1,;0.885057471264368,1,;0.919540229885058,0.910828025477707,;0.798850574712644,0.89171974522293,;
ABMD,2,O,H,|0.256410256410256,0.362515738284125,;0.352819897435897,0.435265914270541,;0.646153333333333,0.718865755996824,;0.502563487179486,0.732429379478497,;0.253332615384616,0.194821430971463,;0,0.10234302067287,;0.107691794871794,0,;0.138461333333333,0.277435230895779,;0.260512102564102,0.298397743724076,;0.629743487179487,0.559802766978698,;0.91179476923077,0.886560063309486,;1,0.99383526586495,;0.697435384615384,1,;0.733332717948717,0.69050620339011,;0.595897128205128,0.80147955592114,;0.519999897435897,0.612823722216557,;0.569230256410256,0.440197233021302,;0.506666051282051,0.531443214371984,;
ABTL,2,O,H,|0,0,;0.125000260416727,0.116326530612245,;0.178240782000182,0.206122448979592,;0.0648148298182479,0.169387755102041,;0.164352121377806,0.173469387755102,;0.23148153506517,0.316326326530613,;0.365740825402969,0.334693673469388,;0.453704040209269,0.485714081632653,;0.699074235896814,0.618367551020408,;0.956018971300687,0.914285510204082,;0.932870586312635,1,;1,0.908163469387755,;0.819444865612237,0.932653061224489,;0.856481911222664,0.738775714285714,;0.708333265817885,0.920408163265306,;0.63888903677987,0.667346938775511,;0.689814743012672,0.589795714285715,;0.685185575274439,0.669387959183674,;
ABTX,2,O,H,|0,0,;0.15606912025119,0.214983713355049,;0.268786204851504,0.074919218241042,;0.528901886965863,0.371336156351791,;0.56069322563388,0.465798371335504,;0.618496999565607,0.469055700325732,;0.621387173811322,0.482085342019544,;0.855491287714245,0.765472638436482,;0.664739787497048,0.791531270358305,;0.799132889922801,0.73615667752443,;0.969653170419991,0.96416970684039,;0.907514424137117,0.954397719869706,;0.823699081993954,0.794788599348534,;1,0.89902312703583,;0.933525992348553,0.947882736156352,;0.979768780279994,0.957655048859934,;0.985549128771424,1,;0.765895886097077,0.934853745928338,;
ABUS,2,O,H,|0.0188679245283019,0,;0,0.13,;0.113207547169811,0.2,;0.160377358490566,0.25,;0.339622641509434,0.27,;0.424528301886793,0.54,;0.424528301886793,0.47,;0.716981132075472,0.67,;0.811320754716981,0.92,;0.650943396226415,0.83,;0.754716981132076,0.74,;0.773584905660377,0.9,;0.811320754716981,0.84,;0.933962264150944,0.9,;0.924528301886792,0.98,;0.745283018867925,0.96,;0.849056603773585,0.86,;1,1,;
ABY,2,O,H,|0,0,;0.255905612561264,0.275361793740431,;0.393700942401946,0.376811504935873,;0.374015501580906,0.416666606280149,;0.429134027218121,0.358695912098487,;0.326771782193615,0.416666606280149,;0.370079279558771,0.384057886998469,;0.574802982205899,0.576086649338152,;0.779527865955852,0.677536360533594,;0.854331045012222,0.8405803192611,;1,1,;0.881890110980359,0.880434695967171,;0.901574764399513,0.815217982042015,;0.814960950772027,0.807971237660317,;0.834645604191183,0.905797757824461,;0.70472429319854,0.728260672652662,;0.688976649203406,0.634058430477123,;0.409448586397081,0.590579775782446,;
ACAD,2,O,H,|0,0,;0.0274390985183612,0.0681456472381655,;0.346798830274479,0.282884253794315,;0.352134195721479,0.369255100574889,;0.425304845632253,0.391442027848021,;0.466463455300041,0.433438940843022,;0.416920776149331,0.40966722739043,;0.733231727650021,0.684627550287445,;0.900152370415216,0.867670433254393,;0.911585372592579,0.898573763753864,;0.97027446872908,0.989698731354892,;1,1,;0.958841390332211,0.991283596773661,;0.923780493614292,0.907290087740895,;0.915396271692358,0.907290087740895,;0.886432783046282,0.881933588108842,;0.824695211532377,0.834389765007113,;0.850609843703518,0.82963564418666,;
ACAS,2,O,H,|0,0,;0.328358208955224,0.121212121212121,;0.686567164179104,0.424242424242424,;0.791044776119403,0.490909090909091,;0.895522388059702,0.66060606060606,;1,1,;0.716417910447762,0.53939393939394,;0.686567164179104,0.545454545454546,;0.917910447761194,0.575757575757575,;0.55223880597015,0.521212121212121,;0.470149253731344,0.315151515151515,;0.649253731343284,0.357575757575757,;0.761194029850746,0.442424242424243,;0.932835820895523,0.6,;0.813432835820896,0.636363636363637,;0.761194029850746,0.569696969696969,;0.716417910447762,0.466666666666666,;0.626865671641791,0.424242424242424,;
ACAT,2,O,H,|0.0893970893970894,0.00821355067483542,;0,0.0800821190796471,;0.0748440748440748,0,;0.120582120582121,0.0246406520245066,;0.372141372141372,0.236139581901523,;0.656964656964657,0.667350992330392,;0.634095634095634,0.546201119876567,;0.804573804573805,0.689938462024957,;0.948024948024948,0.815194699138666,;0.889812681912682,0.780287108770614,;0.825363825363826,0.767966988097128,;0.881496881496882,0.743326541411388,;0.906445114345115,0.761806619752234,;0.960498752598753,0.821355067483559,;0.910602702702703,0.870636371532573,;1,0.887063472882244,;0.831600831600832,1,;0.796257796257796,0.679671113003879,;
ACBI,2,O,H,|0,0,;0.198529411764705,0,;0.345588235294118,0.158333333333333,;0.389705882352942,0.249999999999999,;0.463235294117647,0.291666666666667,;0.698529411764706,0.558333333333334,;0.573529411764706,0.541666666666666,;0.544117647058823,0.575,;0.955882352941176,0.875,;1,0.916666666666667,;0.992647058823528,1,;0.735294117647058,0.866666666666666,;0.794117647058823,0.991666666666667,;0.963235294117647,0.891666666666666,;0.977941176470587,0.966666666666667,;0.897058823529411,0.916666666666667,;0.794117647058823,0.749999999999999,;0.897058823529411,0.783333333333333,;
